SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys
space,10.6556,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",6278,2022-04-06_17h40.29.369,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,4.8583,0,1,1,1,1,"We urge you to try your best and take your time. Each statement will appear on your screen and you will have 10 seconds to decide if it is true or false. You will hear a beep at 6 seconds that will prompt you to respond within the next 4 seconds. If you fail to respond within this time, the trial will be counted as incorrect and the next statement will appear. Press SPACE to continue",6278,2022-04-06_17h40.29.369,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,14.1696,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",6278,2022-04-06_17h40.29.369,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,3.0152,0,3,3,3,1,Take your time and go slowly! You have 10 seconds to answer! Press SPACE to continue. ,6278,2022-04-06_17h40.29.369,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6278,2022-04-06_17h40.29.369,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,j,1,1.9596,space,1.4086,0,0,0,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,,6278,2022-04-06_17h40.29.369,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,f,1,1.8487,space,1.3078,0,1,1,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,,6278,2022-04-06_17h40.29.369,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,j,1,1.6119,space,0.9101,0,2,2,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,,6278,2022-04-06_17h40.29.369,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,j,1,1.9323,space,0.7109,0,3,3,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,
,,,,,,,,6278,2022-04-06_17h40.29.369,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,f,1,2.1421,space,1.0429,0,4,4,0,1,A circle is a shape,f,,,,,,,,,,,,,,,
,,,,,,,,6278,2022-04-06_17h40.29.369,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,f,1,2.7257,space,1.0353,0,5,5,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
