SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect
space,1.1345,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",2208,2022-04-06_19h11.47.287,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,,,,,,,,,,,,
space,0.9008,0,1,1,1,1,"We urge you to try your best and take your time. Each statement will appear on your screen and you will have 10 seconds to decide if it is true or false. You will hear a beep at 6 seconds that will prompt you to respond within the next 4 seconds. If you fail to respond within this time, the trial will be counted as incorrect and the next statement will appear. Press SPACE to continue",2208,2022-04-06_19h11.47.287,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,,,,,,,,,,,,
space,6.2743,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",2208,2022-04-06_19h11.47.287,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,,,,,,,,,,,,
space,1.5577,0,3,3,3,1,Take your time and go slowly! You have 10 seconds to answer! Press SPACE to continue. ,2208,2022-04-06_19h11.47.287,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,,,,,,,,,,,,
,,,,,,,,2208,2022-04-06_19h11.47.287,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,j,1,3.5006,space,0.6399,0,0,0,7,1,The Earth is a star,j
,,,,,,,,2208,2022-04-06_19h11.47.287,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,f,0,2.6238,space,0.6237,0,1,1,6,1,Jupiter is the planet we live on,j
,,,,,,,,2208,2022-04-06_19h11.47.287,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,j,0,2.124,space,0.5086,0,2,2,0,1,A circle is a shape,f
,,,,,,,,2208,2022-04-06_19h11.47.287,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,j,0,1.7068,space,0.4948,0,3,3,1,1,Dinosaurs are extinct,f
,,,,,,,,2208,2022-04-06_19h11.47.287,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,f,1,2.5755,space,0.4915,0,4,4,2,1,Magenta is a color,f
,,,,,,,,2208,2022-04-06_19h11.47.287,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,j,0,2.6605,space,0.5574,0,5,5,4,1,Humans cannot breathe water,f
,,,,,,,,2208,2022-04-06_19h11.47.287,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,f,0,1.3241,space,0.4953,0,6,6,5,1,A truck is an animal,j
,,,,,,,,2208,2022-04-06_19h11.47.287,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0024001,f,0,3.0231,space,0.5602,0,7,7,9,1,Humans cannot eat food,j
