SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,4.1577,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",6235,2022-04-06_19h15.50.870,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.82292414,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,5.1671,0,1,1,1,1,"We urge you to try your best and take your time. Each statement will appear on your screen and you will have 10 seconds to decide if it is true or false. You will hear a beep at 6 seconds that will prompt you to respond within the next 4 seconds. If you fail to respond within this time, the trial will be counted as incorrect and the next statement will appear. Press SPACE to continue",6235,2022-04-06_19h15.50.870,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.82292414,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,5.1445,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",6235,2022-04-06_19h15.50.870,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.82292414,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.5694,0,3,3,3,1,Take your time and go slowly! You have 10 seconds to answer! Press SPACE to continue. ,6235,2022-04-06_19h15.50.870,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.82292414,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6235,2022-04-06_19h15.50.870,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.82292414,j,1,1.276,space,0.9646,0,0,0,5,1,A truck is an animal,j,,,,,,,,,,,,,,,,
,,,,,,,,6235,2022-04-06_19h15.50.870,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.82292414,j,1,2.1841,space,0.3558,0,1,1,7,1,The Earth is a star,j,,,,,,,,,,,,,,,,
,,,,,,,,6235,2022-04-06_19h15.50.870,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.82292414,f,0,1.3017,space,1.0238,0,2,2,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,,
,,,,,,,,6235,2022-04-06_19h15.50.870,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.82292414,j,1,1.4856,space,0.5621,0,3,3,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,,
,,,,,,,,6235,2022-04-06_19h15.50.870,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.82292414,f,1,1.3936,space,0.4978,0,4,4,2,1,Magenta is a color,f,,,,,,,,,,,,,,,,
,,,,,,,,6235,2022-04-06_19h15.50.870,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.82292414,j,1,1.357,space,0.4053,0,5,5,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,,
