SlowInstrKey.keys,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,SlowInstrKey.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys
,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",9025,2022-04-06_18h36.58.396,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,1,1,1,"We urge you to try your best and take your time. Each statement will appear on your screen and you will have 10 seconds to decide if it is true or false. You will hear a beep at 6 seconds that will prompt you to respond within the next 4 seconds. If you fail to respond within this time, the trial will be counted as incorrect and the next statement will appear. Press SPACE to continue",9025,2022-04-06_18h36.58.396,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",9025,2022-04-06_18h36.58.396,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.95203837,11.555,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,3,3,3,1,Take your time and go slowly! You have 10 seconds to answer! Press SPACE to continue. ,9025,2022-04-06_18h36.58.396,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.95203837,5.706,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9025,2022-04-06_18h36.58.396,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.95203837,,f,1,4.777,space,3.206,0,0,0,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,9025,2022-04-06_18h36.58.396,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.95203837,,f,1,3.846,space,2.534,0,1,1,0,1,A circle is a shape,f,,,,,,,,,,,,,,,
,,,,,,,9025,2022-04-06_18h36.58.396,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.95203837,,j,1,5.038,space,2.459,0,2,2,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,9025,2022-04-06_18h36.58.396,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.95203837,,j,1,3.022,space,3.64,0,3,3,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,9025,2022-04-06_18h36.58.396,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.95203837,,f,1,5.148,space,1.936,0,4,4,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,9025,2022-04-06_18h36.58.396,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.95203837,,j,1,3.312,space,2.085,0,5,5,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
