SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct
space,3.8913,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",7593,2022-04-06_18h07.20.200,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.98080614,,,,,,,,,,,,,,,,,,,,,,,,,
space,7.9531,0,1,1,1,1,"We urge you to try your best and take your time. Each statement will appear on your screen and you will have 10 seconds to decide if it is true or false. You will hear a beep at 6 seconds that will prompt you to respond within the next 4 seconds. If you fail to respond within this time, the trial will be counted as incorrect and the next statement will appear. Press SPACE to continue",7593,2022-04-06_18h07.20.200,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.98080614,,,,,,,,,,,,,,,,,,,,,,,,,
space,5.3385,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",7593,2022-04-06_18h07.20.200,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.98080614,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.8294,0,3,3,3,1,Take your time and go slowly! You have 10 seconds to answer! Press SPACE to continue. ,7593,2022-04-06_18h07.20.200,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.98080614,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7593,2022-04-06_18h07.20.200,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.98080614,f,1,1.7522,space,2.0074,0,0,0,0,1,A circle is a shape,f,,,,,,,,,,,,,
,,,,,,,,7593,2022-04-06_18h07.20.200,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.98080614,j,1,2.0249,,,0,1,1,9,1,Humans cannot eat food,j,,,,,,,,,,,,,
,,,,,,,,7593,2022-04-06_18h07.20.200,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.98080614,,0,,,,0,2,2,5,1,A truck is an animal,j,,,,,,,,,,,,,
,,,,,,,,7593,2022-04-06_18h07.20.200,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.98080614,,0,,,,0,3,3,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,
,,,,,,,,7593,2022-04-06_18h07.20.200,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.98080614,f,1,5.8739,space,1.0795,0,4,4,3,1,A clock is used to tell time,f,,,,,,,,,,,,,
,,,,,,,,7593,2022-04-06_18h07.20.200,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.98080614,f,1,1.5515,space,2.2459,0,5,5,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,
,,,,,,,,7593,2022-04-06_18h07.20.200,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.98080614,f,1,2.0654,space,3.2587,0,6,6,2,1,Magenta is a color,f,,,,,,,,,,,,,
,,,,,,,,7593,2022-04-06_18h07.20.200,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.98080614,j,1,1.4377,space,2.1147,0,7,7,8,1,Mississippi is a country,j,,,,,,,,,,,,,
,,,,,,,,7593,2022-04-06_18h07.20.200,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.98080614,j,1,2.9512,space,0.7952,0,8,8,7,1,The Earth is a star,j,,,,,,,,,,,,,
